ScientificName,Family,Genus,Species,MaxN,Common,SpeciesCode,SurveyID,Site,Season,Year
Achoerodus viridis,Labridae,Achoerodus,viridis,2,Easten Blue Groper,acvi,BG-BR01_C_S2021,BG-BR,Summer,2021
Achoerodus viridis,Labridae,Achoerodus,viridis,3,Easten Blue Groper,acvi,BG-BR07_C_S2021,BG-BR,Summer,2021
Achoerodus viridis,Labridae,Achoerodus,viridis,1,Easten Blue Groper,acvi,BG-BR02_O_S2021,BG-BR,Summer,2021
Achoerodus viridis,Labridae,Achoerodus,viridis,2,Easten Blue Groper,acvi,BG-BR03_C_S2021,BG-BR,Summer,2021
Achoerodus viridis,Labridae,Achoerodus,viridis,1,Easten Blue Groper,acvi,BG-BR04_C_S2021,BG-BR,Summer,2021
Achoerodus viridis,Labridae,Achoerodus,viridis,1,Easten Blue Groper,acvi,BG-BR04_E_S2021,BG-BR,Summer,2021
Achoerodus viridis,Labridae,Achoerodus,viridis,2,Easten Blue Groper,acvi,BG-BR07_E_S2021,BG-BR,Summer,2021
Achoerodus viridis,Labridae,Achoerodus,viridis,1,Easten Blue Groper,acvi,BG-BR02_E_S2021,BG-BR,Summer,2021
Afurcagobius tamarensis,Gobiidae,Afurcagobius,tamarensis,1,Tamar Goby,fata,BG-BR03_O_S2021,BG-BR,Summer,2021
Afurcagobius tamarensis,Gobiidae,Afurcagobius,tamarensis,1,Tamar Goby,fata,BG-BR04_C_S2021,BG-BR,Summer,2021
Afurcagobius tamarensis,Gobiidae,Afurcagobius,tamarensis,1,Tamar Goby,fata,BG-BR05_O_S2021,BG-BR,Summer,2021
Afurcagobius tamarensis,Gobiidae,Afurcagobius,tamarensis,1,Tamar Goby,fata,BG-BR07_O_S2021,BG-BR,Summer,2021
Ambassis jacksoniensis,Ambassidae,Ambassis,jacksoniensis,54,Port Jackson Glassfish,amja,BG-BR03_C_S2021,BG-BR,Summer,2021
Ambassis jacksoniensis,Ambassidae,Ambassis,jacksoniensis,19,Port Jackson Glassfish,amja,BG-BR06_E_S2021,BG-BR,Summer,2021
Ambassis jacksoniensis,Ambassidae,Ambassis,jacksoniensis,13,Port Jackson Glassfish,amja,BG-BR02_E_S2021,BG-BR,Summer,2021
Bathygobius krefftii,Gobiidae,Bathygobius,krefftii,1,Krefft's Frillgoby,bakr,BG-BR07_C_S2021,BG-BR,Summer,2021
Bathygobius krefftii,Gobiidae,Bathygobius,krefftii,1,Krefft's Frillgoby,bakr,BG-BR01_E_S2021,BG-BR,Summer,2021
Bathygobius krefftii,Gobiidae,Bathygobius,krefftii,1,Krefft's Frillgoby,bakr,BG-BR06_E_S2021,BG-BR,Summer,2021
Bathygobius krefftii,Gobiidae,Bathygobius,krefftii,1,Krefft's Frillgoby,bakr,BG-BR04_C_S2021,BG-BR,Summer,2021
Bathygobius krefftii,Gobiidae,Bathygobius,krefftii,1,Krefft's Frillgoby,bakr,BG-BR07_O_S2021,BG-BR,Summer,2021
Bathygobius krefftii,Gobiidae,Bathygobius,krefftii,1,Krefft's Frillgoby,bakr,BG-BR07_E_S2021,BG-BR,Summer,2021
Bathygobius krefftii,Gobiidae,Bathygobius,krefftii,1,Krefft's Frillgoby,bakr,BG-BR01_C_S2021,BG-BR,Summer,2021
Centropogon australis,Tetrarogidae,Centropogon,australis,1,Eastern Fortescue,ceau,BG-BR06_E_S2021,BG-BR,Summer,2021
Centropogon australis,Tetrarogidae,Centropogon,australis,1,Eastern Fortescue,ceau,BG-BR07_E_S2021,BG-BR,Summer,2021
Centropogon australis,Tetrarogidae,Centropogon,australis,1,Eastern Fortescue,ceau,BG-BR07_C_S2021,BG-BR,Summer,2021
Centropogon australis,Tetrarogidae,Centropogon,australis,1,Eastern Fortescue,ceau,BG-BR03_C_S2021,BG-BR,Summer,2021
Centropogon australis,Tetrarogidae,Centropogon,australis,1,Eastern Fortescue,ceau,BG-BR04_E_S2021,BG-BR,Summer,2021
Chrysophrys auratus,Sparidae,Chrysophrys,auratus,2,Australisian Snapper,chau,BG-BR02_E_S2021,BG-BR,Summer,2021
Cryptocentroides gobiodes,Gobiidae,Cryptocentroides,gobiodes,2,Crested-Oyster Goby,crgo,BG-BR01_E_S2021,BG-BR,Summer,2021
Cryptocentroides gobiodes,Gobiidae,Cryptocentroides,gobiodes,1,Crested-Oyster Goby,crgo,BG-BR04_C_S2021,BG-BR,Summer,2021
Cryptocentroides gobiodes,Gobiidae,Cryptocentroides,gobiodes,1,Crested-Oyster Goby,crgo,BG-BR07_E_S2021,BG-BR,Summer,2021
Favonigobius exquisitus,Gobiidae,Favonigobius,exquisitus,2,Exquisite Sandgoby,faex,BG-BR01_O_S2021,BG-BR,Summer,2021
Favonigobius exquisitus,Gobiidae,Favonigobius,exquisitus,1,Exquisite Sandgoby,faex,BG-BR04_C_S2021,BG-BR,Summer,2021
Favonigobius exquisitus,Gobiidae,Favonigobius,exquisitus,3,Exquisite Sandgoby,faex,BG-BR04_O_S2021,BG-BR,Summer,2021
Favonigobius exquisitus,Gobiidae,Favonigobius,exquisitus,4,Exquisite Sandgoby,faex,BG-BR07_O_S2021,BG-BR,Summer,2021
Favonigobius exquisitus,Gobiidae,Favonigobius,exquisitus,4,Exquisite Sandgoby,faex,BG-BR04_E_S2021,BG-BR,Summer,2021
Favonigobius exquisitus,Gobiidae,Favonigobius,exquisitus,1,Exquisite Sandgoby,faex,BG-BR03_O_S2021,BG-BR,Summer,2021
Favonigobius exquisitus,Gobiidae,Favonigobius,exquisitus,3,Exquisite Sandgoby,faex,BG-BR05_O_S2021,BG-BR,Summer,2021
Gerres subfasciatus,Gerreidae,Gerres,subfasciatus,1,Common Silverbiddy,gesu,BG-BR07_O_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,1,Luderick,gitr,BG-BR05_C_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,6,Luderick,gitr,BG-BR04_E_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,11,Luderick,gitr,BG-BR02_C_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,20,Luderick,gitr,BG-BR06_E_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,12,Luderick,gitr,BG-BR02_E_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,6,Luderick,gitr,BG-BR04_C_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,5,Luderick,gitr,BG-BR07_C_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,9,Luderick,gitr,BG-BR02_O_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,1,Luderick,gitr,BG-BR04_O_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,1,Luderick,gitr,BG-BR05_E_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,28,Luderick,gitr,BG-BR01_C_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,11,Luderick,gitr,BG-BR01_E_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,2,Luderick,gitr,BG-BR03_O_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,5,Luderick,gitr,BG-BR07_O_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,6,Luderick,gitr,BG-BR03_C_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,2,Luderick,gitr,BG-BR01_O_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,32,Luderick,gitr,BG-BR07_E_S2021,BG-BR,Summer,2021
Girella tricuspidata,Girellidae,Girella,tricuspidata,6,Luderick,gitr,BG-BR05_O_S2021,BG-BR,Summer,2021
Gobiopterus semivestitus,Gobiidae,Gobiopterus,semivestitus,1,Glassgoby,gose,BG-BR04_C_S2021,BG-BR,Summer,2021
Hyperlophus vittatus,Clupeidae,Hyperlophus,vittatus,437,Sandy Sprat,hyvi,BG-BR01_E_S2021,BG-BR,Summer,2021
Hyperlophus vittatus,Clupeidae,Hyperlophus,vittatus,94,Sandy Sprat,hyvi,BG-BR05_O_S2021,BG-BR,Summer,2021
Hyperlophus vittatus,Clupeidae,Hyperlophus,vittatus,109,Sandy Sprat,hyvi,BG-BR01_O_S2021,BG-BR,Summer,2021
Hyperlophus vittatus,Clupeidae,Hyperlophus,vittatus,63,Sandy Sprat,hyvi,BG-BR04_E_S2021,BG-BR,Summer,2021
Hyperlophus vittatus,Clupeidae,Hyperlophus,vittatus,137,Sandy Sprat,hyvi,BG-BR05_E_S2021,BG-BR,Summer,2021
Hyperlophus vittatus,Clupeidae,Hyperlophus,vittatus,189,Sandy Sprat,hyvi,BG-BR03_C_S2021,BG-BR,Summer,2021
Hyperlophus vittatus,Clupeidae,Hyperlophus,vittatus,360,Sandy Sprat,hyvi,BG-BR02_O_S2021,BG-BR,Summer,2021
Hyperlophus vittatus,Clupeidae,Hyperlophus,vittatus,15,Sandy Sprat,hyvi,BG-BR07_O_S2021,BG-BR,Summer,2021
Hyperlophus vittatus,Clupeidae,Hyperlophus,vittatus,3,Sandy Sprat,hyvi,BG-BR03_O_S2021,BG-BR,Summer,2021
Hyperlophus vittatus,Clupeidae,Hyperlophus,vittatus,57,Sandy Sprat,hyvi,BG-BR05_C_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,5,Yellowfin Leatherjacket,metr,BG-BR04_C_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,2,Yellowfin Leatherjacket,metr,BG-BR05_C_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,7,Yellowfin Leatherjacket,metr,BG-BR07_C_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,6,Yellowfin Leatherjacket,metr,BG-BR02_C_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,3,Yellowfin Leatherjacket,metr,BG-BR04_E_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,5,Yellowfin Leatherjacket,metr,BG-BR03_C_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,5,Yellowfin Leatherjacket,metr,BG-BR07_E_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,5,Yellowfin Leatherjacket,metr,BG-BR05_E_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,2,Yellowfin Leatherjacket,metr,BG-BR01_E_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,4,Yellowfin Leatherjacket,metr,BG-BR01_C_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,2,Yellowfin Leatherjacket,metr,BG-BR02_E_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,1,Yellowfin Leatherjacket,metr,BG-BR07_O_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,1,Yellowfin Leatherjacket,metr,BG-BR02_O_S2021,BG-BR,Summer,2021
Meuschenia trachylepis,Monacanthidae,Meuschenia,trachylepis,2,Yellowfin Leatherjacket,metr,BG-BR06_E_S2021,BG-BR,Summer,2021
Microcanthus strigatus,Kyphosidae,Microcanthus,strigatus,1,Stripey,mist,BG-BR01_E_S2021,BG-BR,Summer,2021
Microcanthus strigatus,Kyphosidae,Microcanthus,strigatus,2,Stripey,mist,BG-BR03_C_S2021,BG-BR,Summer,2021
Microcanthus strigatus,Kyphosidae,Microcanthus,strigatus,3,Stripey,mist,BG-BR02_E_S2021,BG-BR,Summer,2021
Microcanthus strigatus,Kyphosidae,Microcanthus,strigatus,1,Stripey,mist,BG-BR07_E_S2021,BG-BR,Summer,2021
Microcanthus strigatus,Kyphosidae,Microcanthus,strigatus,2,Stripey,mist,BG-BR06_E_S2021,BG-BR,Summer,2021
Microcanthus strigatus,Kyphosidae,Microcanthus,strigatus,3,Stripey,mist,BG-BR02_O_S2021,BG-BR,Summer,2021
Monacanthus chinensis,Monacanthidae,Monacanthus,chinensis,1,Fan-bellied leatherjacket,moch,BG-BR05_E_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,1,Sea Mullet,muce,BG-BR05_C_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,20,Sea Mullet,muce,BG-BR04_E_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,1,Sea Mullet,muce,BG-BR03_O_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,9,Sea Mullet,muce,BG-BR02_C_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,6,Sea Mullet,muce,BG-BR02_E_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,4,Sea Mullet,muce,BG-BR07_C_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,10,Sea Mullet,muce,BG-BR05_E_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,2,Sea Mullet,muce,BG-BR07_E_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,1,Sea Mullet,muce,BG-BR07_O_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,7,Sea Mullet,muce,BG-BR04_C_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,6,Sea Mullet,muce,BG-BR04_O_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,12,Sea Mullet,muce,BG-BR01_C_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,15,Sea Mullet,muce,BG-BR01_O_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,7,Sea Mullet,muce,BG-BR02_O_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,8,Sea Mullet,muce,BG-BR03_C_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,1,Sea Mullet,muce,BG-BR05_O_S2021,BG-BR,Summer,2021
Mugil cephalus,Mugilidae,Mugil,cephalus,4,Sea Mullet,muce,BG-BR01_E_S2021,BG-BR,Summer,2021
Myxus elongatus,Mugilidae,Myxus,elongatus,31,Sand Grey Mullet,myel,BG-BR01_E_S2021,BG-BR,Summer,2021
Myxus elongatus,Mugilidae,Myxus,elongatus,23,Sand Grey Mullet,myel,BG-BR02_O_S2021,BG-BR,Summer,2021
Myxus elongatus,Mugilidae,Myxus,elongatus,3,Sand Grey Mullet,myel,BG-BR07_O_S2021,BG-BR,Summer,2021
Myxus elongatus,Mugilidae,Myxus,elongatus,3,Sand Grey Mullet,myel,BG-BR07_E_S2021,BG-BR,Summer,2021
Myxus elongatus,Mugilidae,Myxus,elongatus,14,Sand Grey Mullet,myel,BG-BR06_E_S2021,BG-BR,Summer,2021
Myxus elongatus,Mugilidae,Myxus,elongatus,20,Sand Grey Mullet,myel,BG-BR04_C_S2021,BG-BR,Summer,2021
Omobranchus anolius,Blennidae,Omobranchus,anolius,3,Oyster Blenny,oman,BG-BR05_C_S2021,BG-BR,Summer,2021
Omobranchus anolius,Blennidae,Omobranchus,anolius,2,Oyster Blenny,oman,BG-BR02_C_S2021,BG-BR,Summer,2021
Omobranchus anolius,Blennidae,Omobranchus,anolius,2,Oyster Blenny,oman,BG-BR01_C_S2021,BG-BR,Summer,2021
Omobranchus anolius,Blennidae,Omobranchus,anolius,3,Oyster Blenny,oman,BG-BR01_E_S2021,BG-BR,Summer,2021
Omobranchus anolius,Blennidae,Omobranchus,anolius,2,Oyster Blenny,oman,BG-BR02_E_S2021,BG-BR,Summer,2021
Omobranchus anolius,Blennidae,Omobranchus,anolius,2,Oyster Blenny,oman,BG-BR05_E_S2021,BG-BR,Summer,2021
Omobranchus anolius,Blennidae,Omobranchus,anolius,1,Oyster Blenny,oman,BG-BR06_E_S2021,BG-BR,Summer,2021
Omobranchus anolius,Blennidae,Omobranchus,anolius,2,Oyster Blenny,oman,BG-BR04_C_S2021,BG-BR,Summer,2021
Omobranchus anolius,Blennidae,Omobranchus,anolius,2,Oyster Blenny,oman,BG-BR07_E_S2021,BG-BR,Summer,2021
Omobranchus anolius,Blennidae,Omobranchus,anolius,2,Oyster Blenny,oman,BG-BR04_E_S2021,BG-BR,Summer,2021
Omobranchus anolius,Blennidae,Omobranchus,anolius,2,Oyster Blenny,oman,BG-BR03_C_S2021,BG-BR,Summer,2021
Omobranchus rotundiceps,Blennidae,Omobranchus,rotundiceps,1,Rotund Blenny,omro,BG-BR01_C_S2021,BG-BR,Summer,2021
Parablennius intermedius,Blennidae,Parablennius,intermedius,2,Horned Blenny,pain,BG-BR02_C_S2021,BG-BR,Summer,2021
Parablennius intermedius,Blennidae,Parablennius,intermedius,1,Horned Blenny,pain,BG-BR06_E_S2021,BG-BR,Summer,2021
Parablennius intermedius,Blennidae,Parablennius,intermedius,2,Horned Blenny,pain,BG-BR07_C_S2021,BG-BR,Summer,2021
Parablennius intermedius,Blennidae,Parablennius,intermedius,2,Horned Blenny,pain,BG-BR03_C_S2021,BG-BR,Summer,2021
Parablennius intermedius,Blennidae,Parablennius,intermedius,1,Horned Blenny,pain,BG-BR01_C_S2021,BG-BR,Summer,2021
Parablennius intermedius,Blennidae,Parablennius,intermedius,1,Horned Blenny,pain,BG-BR07_E_S2021,BG-BR,Summer,2021
Petroscirtes lupus,Blennidae,Petroscirtes,lupus,1,Brown Sabretooth Blenny,pelu,BG-BR07_E_S2021,BG-BR,Summer,2021
Petroscirtes lupus,Blennidae,Petroscirtes,lupus,1,Brown Sabretooth Blenny,pelu,BG-BR01_E_S2021,BG-BR,Summer,2021
Petroscirtes lupus,Blennidae,Petroscirtes,lupus,1,Brown Sabretooth Blenny,pelu,BG-BR07_O_S2021,BG-BR,Summer,2021
Petroscirtes lupus,Blennidae,Petroscirtes,lupus,1,Brown Sabretooth Blenny,pelu,BG-BR02_O_S2021,BG-BR,Summer,2021
Platycephalus fuscus,Platycephalidae,Platycephalus,fuscus,1,Dusky Flathead,plfu,BG-BR03_O_S2021,BG-BR,Summer,2021
Pseudocaranx georgianus,Carangidae,Pseudocaranx,georgianus,1,Silver Trevally,psge,BG-BR05_O_S2021,BG-BR,Summer,2021
Pseudocaranx georgianus,Carangidae,Pseudocaranx,georgianus,2,Silver Trevally,psge,BG-BR01_E_S2021,BG-BR,Summer,2021
Pseudocaranx georgianus,Carangidae,Pseudocaranx,georgianus,1,Silver Trevally,psge,BG-BR03_C_S2021,BG-BR,Summer,2021
Pseudocaranx georgianus,Carangidae,Pseudocaranx,georgianus,4,Silver Trevally,psge,BG-BR02_O_S2021,BG-BR,Summer,2021
Pseudocaranx georgianus,Carangidae,Pseudocaranx,georgianus,1,Silver Trevally,psge,BG-BR03_O_S2021,BG-BR,Summer,2021
Pseudocaranx georgianus,Carangidae,Pseudocaranx,georgianus,1,Silver Trevally,psge,BG-BR05_E_S2021,BG-BR,Summer,2021
Pseudocaranx georgianus,Carangidae,Pseudocaranx,georgianus,1,Silver Trevally,psge,BG-BR04_O_S2021,BG-BR,Summer,2021
Pseudocaranx georgianus,Carangidae,Pseudocaranx,georgianus,1,Silver Trevally,psge,BG-BR07_O_S2021,BG-BR,Summer,2021
Pseudocaranx georgianus,Carangidae,Pseudocaranx,georgianus,1,Silver Trevally,psge,BG-BR04_E_S2021,BG-BR,Summer,2021
Redigobius macrostoma,Gobiidae,Redigobius,macrostoma,1,Largemouth Goby,rema,BG-BR02_C_S2021,BG-BR,Summer,2021
Redigobius macrostoma,Gobiidae,Redigobius,macrostoma,1,Largemouth Goby,rema,BG-BR03_C_S2021,BG-BR,Summer,2021
Redigobius macrostoma,Gobiidae,Redigobius,macrostoma,1,Largemouth Goby,rema,BG-BR01_C_S2021,BG-BR,Summer,2021
Redigobius macrostoma,Gobiidae,Redigobius,macrostoma,1,Largemouth Goby,rema,BG-BR06_E_S2021,BG-BR,Summer,2021
Redigobius macrostoma,Gobiidae,Redigobius,macrostoma,1,Largemouth Goby,rema,BG-BR04_E_S2021,BG-BR,Summer,2021
Redigobius macrostoma,Gobiidae,Redigobius,macrostoma,1,Largemouth Goby,rema,BG-BR07_E_S2021,BG-BR,Summer,2021
Redigobius macrostoma,Gobiidae,Redigobius,macrostoma,1,Largemouth Goby,rema,BG-BR01_E_S2021,BG-BR,Summer,2021
Sillago ciliata,Sillaginidae,Sillago,ciliata,2,Sand Whiting,sici,BG-BR05_O_S2021,BG-BR,Summer,2021
Sillago ciliata,Sillaginidae,Sillago,ciliata,2,Sand Whiting,sici,BG-BR03_O_S2021,BG-BR,Summer,2021
Sillago ciliata,Sillaginidae,Sillago,ciliata,2,Sand Whiting,sici,BG-BR01_O_S2021,BG-BR,Summer,2021
Sillago ciliata,Sillaginidae,Sillago,ciliata,1,Sand Whiting,sici,BG-BR05_E_S2021,BG-BR,Summer,2021
Sillago ciliata,Sillaginidae,Sillago,ciliata,2,Sand Whiting,sici,BG-BR02_E_S2021,BG-BR,Summer,2021
Sillago ciliata,Sillaginidae,Sillago,ciliata,1,Sand Whiting,sici,BG-BR04_O_S2021,BG-BR,Summer,2021
Sillago ciliata,Sillaginidae,Sillago,ciliata,1,Sand Whiting,sici,BG-BR04_E_S2021,BG-BR,Summer,2021
Sillago ciliata,Sillaginidae,Sillago,ciliata,1,Sand Whiting,sici,BG-BR07_O_S2021,BG-BR,Summer,2021
Sillago ciliata,Sillaginidae,Sillago,ciliata,1,Sand Whiting,sici,BG-BR02_O_S2021,BG-BR,Summer,2021
Tetractenos hamiltoni,Tetraodontidae,Tetractenos,hamiltoni,1,Common Toadfish,teha,BG-BR04_O_S2021,BG-BR,Summer,2021
Tetractenos hamiltoni,Tetraodontidae,Tetractenos,hamiltoni,1,Common Toadfish,teha,BG-BR02_E_S2021,BG-BR,Summer,2021
Tetractenos hamiltoni,Tetraodontidae,Tetractenos,hamiltoni,1,Common Toadfish,teha,BG-BR04_E_S2021,BG-BR,Summer,2021
Tetractenos hamiltoni,Tetraodontidae,Tetractenos,hamiltoni,1,Common Toadfish,teha,BG-BR07_O_S2021,BG-BR,Summer,2021
Tetractenos hamiltoni,Tetraodontidae,Tetractenos,hamiltoni,1,Common Toadfish,teha,BG-BR01_O_S2021,BG-BR,Summer,2021
Tetractenos hamiltoni,Tetraodontidae,Tetractenos,hamiltoni,1,Common Toadfish,teha,BG-BR05_E_S2021,BG-BR,Summer,2021
Torquigener pleurogramma,Tetraodontidae,Torquigener,pleurogramma,1,Weeping Toadfish,topl,BG-BR02_E_S2021,BG-BR,Summer,2021
Trygonoptera testacea,Urolophidae,Trygonoptera,testacea,1,Common Stingaree,trte,BG-BR07_O_S2021,BG-BR,Summer,2021
Abudefduf bengalensis,Pomacentridae,Abudefduf,bengalensis,2,Bengal Sergeant,abbe,SY-TP15_C_S2020,SY-TP,Summer,2020
Abudefduf sexfasciatus,Pomacentridae,Abudefduf,sexfasciatus,1,Scissortail sergant,abse,SY-TP15_E_S2020,SY-TP,Summer,2020
Abudefduf sexfasciatus,Pomacentridae,Abudefduf,sexfasciatus,1,Scissortail sergant,abse,SY-TP01_C_S2021,SY-TP,Summer,2021
Abudefduf sexfasciatus,Pomacentridae,Abudefduf,sexfasciatus,3,Scissortail sergant,abse,CR-OP01_E_S2020,OP-CR,Summer,2020
Abudefduf sexfasciatus,Pomacentridae,Abudefduf,sexfasciatus,3,Scissortail sergant,abse,SY-TP16_C_S2021,SY-TP,Summer,2021
Abudefduf sexfasciatus,Pomacentridae,Abudefduf,sexfasciatus,1,Scissortail sergant,abse,CR-OP01_C_S2020,OP-CR,Summer,2020
Abudefduf sexfasciatus,Pomacentridae,Abudefduf,sexfasciatus,1,Scissortail sergant,abse,CR-OP02_E_S2021,OP-CR,Summer,2021
Abudefduf sexfasciatus,Pomacentridae,Abudefduf,sexfasciatus,1,Scissortail sergant,abse,SY-TP15_C_S2021,SY-TP,Summer,2021
